Protein Groups	Gene Name	Organism	Intensity_20190107_QE5_nLC5_DS_QC_MNT_HeLa_FlashPack_02	
O95758			1045358.01508733	
O95758,P26599,Q9UKA9			15013404.875	
O95777			19539181	
O95782			26897722.89407	
O95801			5387463.24248347	
O95816			34887954.2243352	
O95817			10687564.1647599	
O95831			38178203.8670079	
O95837,P29992,P50148			2991764.57367925	
O95861			17041087.4664085	
O95864			13760558.7820406	
O95865			9543664.3945209	
O95881			20716017.0520833	
O95905			8587152.71873432	
O95926			732042.536458333	
O95983			8642913.16968014	
O95999			2448839.84682607	
O96000			23119773.0261504	
O96005			7624791.4375	
O96008			57864609.15625	
O96013			3206011.1875	
O96019			35699411.25	
O96028			1964095.45833333	
P00338			1340474840	
P00338,P07195			160545246	
P00338,P07195,P07864,Q6ZMR3			49843595	
P00338,Q6ZMR3			412280355.833333	
P00338,Q9BYZ2			245701730	
P00367			37014575.5142289	
P00367,P49448			54332578.25	
P00374			30580023.6081349	
P00374,Q86XF0			13744444.6434277	
P00387			68644313.3333333	
P00390			44849211.1666667	
P00403			53597962.7264448	
P00441			173854358.451315	
P00491			62997019.375	
P00492			88851262.9375	
P00505			132390306.5	
P00533			15960255.661468	
P00558			628435480	
P00558,P07205			353713840	
P00568			67796254.1666667	
P00846			3576944.375	
P00966			3767717.49908831	
P01111,P01112			6719474.016438	
P01111,P01112,P01116			15002577.625	
P01111,P01112,P01116,P61224,P62834			37146092	
P01111,P01116			5179880.5625	
P01112,P01116			7134910.09630476	
P01116			11705308.125	
P01889			30928198.5772586	
P01889,P01893,P04439,P10321,P17693			3286321.11246983	
P01893,P04439,P10321			17287646	
P02042,P02100,P68871,P69891,P69892			12035164.5	
P02452			13902491.3745228	
P02461			55548951	
P02462			2195415.92014737	
P02511			1647157.39403388	
P02533,P08727,P08779,P13645,P19012,Q04695,Q99456			1561412.23574283	
P02533,P08727,P13645,P13646,Q04695,Q7Z3Y8			3148163.70385583	
P02533,P08779,P13646,P19012,P35900,Q04695			27783367.75	
P02533,P08779,P35900,Q04695			336707965.333333	
P02533,P08779,Q04695			5685593.78125	
P02533,Q04695			329472620.416667	
P02538,P04259,P04264,P05787,P13647,P48668			14360663.3333333	
P02538,P04259,P04264,P05787,P13647,P48668,Q5XKE5			133096135	
P02545			278234477.666667	
P02656			1414954.39875232	
P02765			77122608.3622301	
P02768			129027221.083333	
P02786			177128324.5	
P02788			3675778.6673628	
P02792			4646615.63004965	
P02794			59598318.5129141	
P02795			22718280.2138067	
P02795,P04731,P13640,P80294,P80297			117663432	
P02795,P04732,P13640,P80297,Q8N339			177468445.416667	
P04040			32259492.4927592	
P04049,P10398,P15056			4000380.15625	
P04062			7511760.10416667	
P04075			904803501.333333	
P04075,P09972			180312566.1875	
P04080			129722059.5	
P04083			332218726.833333	
P04150			17883945.079717	
P04179			45256707.6990303	
P04181			19390762.5	
P04183			11835814.0522818	
P04216			10072484.6987507	
P04350,P07437,P68371			258798311	
P04350,P07437,P68371,Q13509			182448790.5625	
P04350,P07437,P68371,Q13509,Q13885,Q9BVA1			264944077.208333	
P04350,P07437,P68371,Q13885,Q9BVA1			469605204.583333	
P04350,P68371			14600197.4583333	
P04350,P68371,Q13509			225581432.367261	
P04350,P68371,Q3ZCM7			191862293.708333	
P04350,Q9BUF5			43997781.8958333	
P04406			2583833204	
P04439			13980775.75	
P04632			104698982.75	
P04732			8752665.64583333	
P04732,P04733,P07438,Q93083			21317918.75	
P04792			422577242	
P04818			22267000.3541667	
P04843			98255004.5833333	
P04844			74373614.0233727	
P04899			36194183.9872213	
P04899,P08754,P09471,P63096			53101466.9583333	
P04899,P08754,P63096			23789751.8333333	
P04899,P63096			8425136.08333333	
P04908,P0C0S8,P16104,P20671,Q16777,Q6FI13,Q7L7L0,Q8IUE6,Q93077,Q96KK5,Q96QV6,Q99878,Q9BTM1			2028785013.875	
P04908,P0C0S8,P16104,P20671,Q16777,Q6FI13,Q7L7L0,Q8IUE6,Q93077,Q96KK5,Q99878,Q9BTM1			6291197.3125	
P04908,P0C0S8,P16104,P20671,Q16777,Q6FI13,Q7L7L0,Q93077,Q96KK5,Q96QV6,Q99878,Q9BTM1			706191082.666667	
P04908,P0C0S8,P16104,P20671,Q7L7L0,Q8IUE6,Q93077,Q96KK5,Q99878,Q9BTM1			15383335.5	
P04908,Q7L7L0,Q93077			122882878	
P05023			62522343.75	
P05023,P13637			19937518.4998152	
P05023,P13637,P20648,P50993			5529043.24153092	
P05023,P13637,P20648,P50993,P54707,Q13733			24555361.4012187	
P05023,P13637,P50993			11371340.125	
P05023,P13637,P50993,Q13733			9079787.29206396	
P05026			17695367.4342456	
P05067			6180385.55682194	
P05091			18822702.8966032	
P05114			82474578.3333333	
P05129,P17252			3988983.02058282	
P05141			131594694.333333	
P05141,P12235,P12236			98689803.7083333	
